Total_Source_Frame_Mass_SolarMass,Redshift_Horizon_ET_snr8,Redshift_Horizon_ET_snr150
1.0,1.008934948556283,0.04545992426265318
1.0974987654930561,1.1128628487487133,0.04937799001236756
1.2045035402587823,1.229289557123999,0.05360288270363752
1.321941148466029,1.36029947177591,0.05815561937456185
1.4508287784959397,1.5084337730860395,0.06306003151705332
1.5922827933410924,1.6767677058187755,0.06834131507524217
1.7475284000076838,1.8690129201298926,0.07402706566274582
1.9179102616724888,2.0896737226670665,0.08014855430235888
2.1049041445120205,2.344241761160764,0.0867409069523063
2.3101297000831598,2.6394347601130286,0.09384154965564623
2.535364493970112,2.9833459412446395,0.10149038899351813
2.782559402207125,3.3861208188595473,0.10973103477894698
3.0538555088334154,3.8606762688281204,0.11861112182162623
3.3516026509388426,4.42339059029046,0.12818219118080282
3.6783797718286344,5.095145352128932,0.13849979901444545
4.0370172585965545,5.902195999020571,0.14962389581022006
4.430621457583881,6.876142592883519,0.16161930140740177
4.862601580065355,8.052484313550622,0.17455622218415665
5.3366992312063095,9.47094067436712,0.18851081186095406
5.857020818056667,11.165262258970566,0.20356581654669417
6.428073117284322,13.180017868578469,0.21981126809110016
7.054802310718643,15.69876294133206,0.23734439938666121
7.742636826811272,18.558593566247282,0.2562687829906225
8.497534359086444,21.736374060114446,0.27670226896490896
9.326033468832199,25.158338410769613,0.298777258707095
10.235310218990262,28.730838233343274,0.3226398640507708
11.233240329780276,32.51353629251112,0.3484532285005791
12.328467394420665,36.83168932340417,0.37640033384962635
13.530477745798075,41.86471929423745,0.40668626656130186
14.84968262254465,46.60508576456242,0.43954151230152105
16.297508346206442,51.54656733538496,0.4752238966915987
17.886495290574352,58.0568136899265,0.514019154770249
19.630406500402714,66.26167011787518,0.5562423575062257
21.544346900318846,71.3673870494727,0.6022383572462333
23.644894126454084,73.58390518075842,0.6523823280313326
25.950242113997373,73.95730594099724,0.7070687867709595
28.48035868435802,73.17432351646012,0.7667552758268882
31.25715849688237,71.68411578236027,0.832008613476708
34.30469286314919,69.75945355700249,0.9031633929188343
37.649358067924695,67.55831087862227,0.9808063105573376
41.32012400115339,65.16777585479089,1.0657452817898807
45.34878508128585,62.63978751249323,1.1592327597979883
49.770235643321115,60.01619364052645,1.265106424917647
54.62277217684343,57.3372141169614,1.3801649554559448
59.94842503189412,54.640180019749934,1.5035325901472867
65.79332246575683,51.957032227363584,1.6370964152326517
72.20809018385468,49.31325687475233,1.780787657114991
79.24828983539177,46.728083302606905,1.9338408721391285
86.97490026177834,44.21538062898337,2.0952957796497005
95.45484566618342,41.784765692512075,2.2648711145689333
104.76157527896652,39.44258956367905,2.4444350453406845
114.97569953977369,37.19269900672908,2.6395713761764545
126.1856883066021,35.03699022700793,2.8581093430895708
138.48863713938732,32.9758292214066,3.099891006863864
151.99110829529346,31.008382548155346,3.3420722343762788
166.81005372000593,29.132875002755153,3.5724859602769623
183.07382802953697,27.34680412616117,3.849316512717611
200.9233002565048,25.64714197356783,4.169980854730686
220.51307399030455,24.030548221523155,4.5539654726664205
242.01282647943833,22.49355998546199,4.913602072276852
265.6087782946687,21.032728691694,5.1293525282683134
291.5053062825179,19.644695863235576,5.225471737935697
319.92671377973846,18.32623241261271,5.225595477674475
351.11917342151344,17.074278608856986,5.15767767361492
385.3528593710531,15.88600559567496,5.044735654622709
422.9242874389499,14.758886791277712,4.902366434111035
464.1588833612782,13.690758036078128,4.739752075678861
509.413801481638,12.67983311993607,4.561806447657981
559.0810182512229,11.724639582653007,4.371842436136486
613.5907273413176,10.823884857666041,4.17316118327282
673.4150657750828,9.976302307180898,3.9691701951131044
739.0722033525783,9.180527107853568,3.763013028981741
811.1308307896873,8.435023472616239,3.557312683635117
890.2150854450392,7.738060746677037,3.354102897725795
977.0099572992257,7.087725139813498,3.154887532977267
1072.2672220103243,6.4819528871084495,2.960746154723165
1176.811952434999,5.918573966166466,2.7724279177950266
1291.549665014884,5.3953551523891825,2.5904173537424495
1417.4741629268062,4.910040066726947,2.4149805607416845
1555.6761439304723,4.460384099461412,2.246198025084639
1707.352647470692,4.044182858456189,2.0839885791561445
1873.817422860385,3.6592943308160453,1.9281371797996232
2056.5123083486537,3.3036553946270404,1.7783361638266484
2257.0197196339213,2.9752934898888737,1.6342249569133132
2477.0763559917114,2.6723342785632234,1.4954121545876329
2718.588242732943,2.3930060735674243,1.3614892773280454
2983.64724028334,2.1356417439633972,1.2320686170682589
3274.5491628777318,1.8986787349394576,1.1068660169225157
3593.8136638046294,1.680657789017615,0.9858110837963815
3944.20605943766,1.4802209251008756,0.8691036842858029
4328.7612810830615,1.2961092296516206,0.7571616955391007
4750.810162102798,1.127161049075906,0.6505101971263042
5214.00828799969,0.972311261965419,0.5496857245515189
5722.3676593502205,0.830592486258728,0.4551915803246354
6280.29144183426,0.7011393953405337,0.367505985800659
6892.612104349702,0.5831978778010719,0.287138733994516
7564.633275546291,0.47614174694491157,0.21473732940112922
8302.175681319752,0.3795013323512932,0.15124131100035787
9111.627561154895,0.29301071566631764,0.09803521374467329
10000.0,0.21668262584445896,0.05684988148813355
